source_site,job_title,institution,department_or_school,country,city_or_region,rank_type,area_specialization,contract_type,teaching_expectations,research_expectations,posted_date,deadline_or_review_date,salary_currency,salary_range,job_url,combined_urls,id,consortium_member
ASC,26-152 Tenure-Track Assistant Professor of Criminal Justice,West Chester University,Department of Criminal Justice,United States,"West Chester, PA",Assistant Professor,"Cybercrime, digital forensics, cybersecurity, research methods",,,,2026-08-07,2026-10-01,,,https://www.governmentjobs.com/jobs/5400928-0/26-152-tenure-track-assistant-professor-of-criminal-justice,https://www.governmentjobs.com/jobs/5400928-0/26-152-tenure-track-assistant-professor-of-criminal-justice,410,
"ACJS, HigherEdJobs",Lecturer in Criminal Justice,University of Kentucky,College of Social Work,United States,"Lexington, KY",Other,Criminal Justice instruction,,,,2026-08-07,Open until filled,,,https://careers.acjs.org/job/lecturer-in-criminal-justice/85492880/,"https://careers.acjs.org/job/lecturer-in-criminal-justice/85492880/, https://www.higheredjobs.com/faculty/details.cfm?JobCode=179521662",453,
"ACJS, HigherEdJobs","Director of Undergraduate Studies in Criminal Justice - Assistant, Associate, or Professor",University of Kentucky,College of Social Work,United States,"Lexington, KY",Other,Criminal Justice undergraduate program leadership,,,,2026-08-07,Open until filled,,,https://careers.acjs.org/job/director-of-undergraduate-studies-in-criminal-justice-assistant-associate-or-professor/85493485/,"https://careers.acjs.org/job/director-of-undergraduate-studies-in-criminal-justice-assistant-associate-or-professor/85493485/, https://www.higheredjobs.com/faculty/details.cfm?JobCode=179521661",454,
HigherEdJobs,Assistant Professor in Criminal Justice,University of Kentucky,College of Social Work,United States,"Lexington, KY",Assistant Professor,Criminal Justice,,,,2026-08-07,Open until filled,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179521663,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179521663,458,
ASC,"Assistant Professor, Department of Criminal Justice (RACE & INEQUALITY)","California State University, Fullerton",Department of Criminal Justice,United States,"Fullerton, CA",Assistant Professor,Race & Inequality,,,,2026-08-07,2026-09-10,,,https://csucareers.calstate.edu/en-us/job/559690/assistant-professor-department-of-criminal-justice-race-inequality,https://csucareers.calstate.edu/en-us/job/559690/assistant-professor-department-of-criminal-justice-race-inequality,360,
"ACJS, ASC",Postdoctoral Fellow,University of Maryland,Department of Criminology and Criminal Justice (CCJS),United States,"College Park, MD",Postdoctoral,"Mixed-Methods, Community-Based Gun Violence Research",,,,2026-08-06,Open until filled,,,https://careers.acjs.org/job/postdoctoral-fellow/85426635/,"https://careers.acjs.org/job/postdoctoral-fellow/85426635/, https://umd.wd1.myworkdayjobs.com/UMCP/job/University-of-Maryland-College-Park/Post-Doctoral-Associate_JR104578",451,
ASC,Tenure-Track Assistant Professor of Criminal Justice (Position #330650),New Mexico State University,Department of Criminal Justice,United States,"Las Cruces, NM",Assistant Professor,"Criminology, Criminal Justice",,,,2026-08-06,2026-09-06,,,https://crimjust.nmsu.edu/,https://crimjust.nmsu.edu/,455,
HigherEdJobs,Assistant Professor,New Mexico State University,Department of Criminal Justice,United States,"Las Cruces, NM",Assistant Professor,"Criminology and Criminal Justice (open; quantitative methods, policing, cyber)",,,,2026-08-06,2026-09-07,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179521057,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179521057,459,
HigherEdJobs,Assistant Professor of Criminal Justice - 3505,University of North Carolina at Pembroke,Department of Sociology and Criminal Justice,United States,"Pembroke, NC",Assistant Professor,Criminal Justice,,,,2026-08-05,Open until filled,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179518642,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179518642,460,
HigherEdJobs,Assistant Professor of Sociology and Criminal Justice - 3419,University of North Carolina at Pembroke,Department of Sociology and Criminal Justice,United States,"Pembroke, NC",Assistant Professor,Sociology and Criminal Justice,,,,2026-08-05,Open until filled,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179518641,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179518641,461,
HigherEdJobs,"9-Month, NTT Faculty Criminology & Criminal Justice Program",Saint Louis University,Criminology & Criminal Justice Program,United States,"St. Louis, MO",Other,Criminology & Criminal Justice,,,,2026-08-04,Open until filled,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179517931,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179517931,462,
jobs.ac.uk,Lecturer in Criminology: Policing,Lancaster University,Criminology - School of Social Sciences,United Kingdom,Lancaster,Assistant Professor,Policing,,,,2026-08-04,2026-08-31,,,https://www.jobs.ac.uk/job/DSM552/lecturer-in-criminology-policing,https://www.jobs.ac.uk/job/DSM552/lecturer-in-criminology-policing,466,
TSPA,Retail and Play Program Lead – Trust & Safety,Wizards of the Coast,,United States,"Renton, WA",Other,Trust and Safety,,,,2026-08-03,,,,https://job-boards.greenhouse.io/hasbro/jobs/4267523009,https://job-boards.greenhouse.io/hasbro/jobs/4267523009,443,
ASC,Assistant Professor,University of Alabama,Department of Criminology and Criminal Justice,United States,"Tuscaloosa, AL",Assistant Professor,Open,,,,2026-08-03,Open until filled,,,https://cj.ua.edu/,https://cj.ua.edu/,456,
ASC,"Assistant Professor (Violent, Global, Transnational Crime)",University of Alabama,Department of Criminology and Criminal Justice,United States,"Tuscaloosa, AL",Assistant Professor,"Violent crime, global or comparative criminology, transnational crime",,,,2026-08-03,Open until filled,,,https://cj.ua.edu/,https://cj.ua.edu/,457,
TSPA,Senior Machine Learning Engineer Manager – TikTok Trust & Safety,TikTok,,United States,"San Jose, CA",Other,Engineering,,,,2026-08-03,,,,https://lifeattiktok.com/search/7613157691968112949,https://lifeattiktok.com/search/7613157691968112949,450,
TSPA,Trust & Safety Operations Analyst,Suno,,United States,Remote,Other,Operations,,,,2026-08-03,,,,https://jobs.ashbyhq.com/suno/5ea04ae1-a27f-4fda-900b-fcc0327c7692,https://jobs.ashbyhq.com/suno/5ea04ae1-a27f-4fda-900b-fcc0327c7692,441,
TSPA,Trust & Safety Operations and Tooling Manager,Salesforce,,United States,"Seattle, WA; Atlanta, GA; Herndon, VA; Mclean, VA",Other,Operations,,,,2026-08-03,,,,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/Washington---Seattle/Manager--Technology-Program-Management_JR349279-1,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/Washington---Seattle/Manager--Technology-Program-Management_JR349279-1,439,
TSPA,"Senior Data Analyst – Trust, Safety, and Fraud Analytics",Rover,,United States,"Seattle, WA",Other,Analytics,,,,2026-08-03,,,,https://jobs.lever.co/rover/a79df802-9fbc-42af-a698-44ac68ab538f,https://jobs.lever.co/rover/a79df802-9fbc-42af-a698-44ac68ab538f,449,
TSPA,Trust & Safety Specialist,Roadie,,United States,Remote,Other,Trust and Safety,,,,2026-08-03,,,,https://job-boards.greenhouse.io/roadie/jobs/8608837002,https://job-boards.greenhouse.io/roadie/jobs/8608837002,447,
TSPA,"Trust, Safety and Integrity Counsel",Reflection,,United Kingdom; United States,"London, UK; New York, NY; San Francisco, CA; Washington, D.C.",Other,Legal,,,,2026-08-03,,,,https://jobs.ashbyhq.com/reflectionai/b1c2e64b-6fd5-4562-96e5-fa5dea31d12f,https://jobs.ashbyhq.com/reflectionai/b1c2e64b-6fd5-4562-96e5-fa5dea31d12f,442,
TSPA,"Trust & Safety Operations Analyst, Ads",OpenAI,,United States,"San Francisco, CA",Other,Operations,,,,2026-08-03,,,,https://jobs.ashbyhq.com/openai/c9e9e3a5-fb93-4162-b876-6266016819c0,https://jobs.ashbyhq.com/openai/c9e9e3a5-fb93-4162-b876-6266016819c0,437,
TSPA,"Staff Program Manager, Trust & Safety",Mozilla,,United States,Remote,Other,Program/Product Management,,,,2026-08-03,,,,https://job-boards.greenhouse.io/mozilla/jobs/8029047,https://job-boards.greenhouse.io/mozilla/jobs/8029047,444,
TSPA,Trust and Safety – Sanctions Transaction Screening Product Manager- Payments – Vice President,JPMorganChase,,United States,"Tampa, FL; Wilmington, DE",Other,Program/Product Management,,,,2026-08-03,,,,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210765390,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210765390,448,
TSPA,"Technical Program Manager III, Regulatory Controls, Trust and Safety",Google,,United States,"Atlanta, GA",Other,Program/Product Management,,,,2026-08-03,,,,https://www.google.com/about/careers/applications/jobs/results/119642245434352326-technical-program-manager-iii/,https://www.google.com/about/careers/applications/jobs/results/119642245434352326-technical-program-manager-iii/,436,
TSPA,"Associate Principal Analyst, Scams and Verification, Trust and Safety",Google,,United States,"Seattle, WA; Kirkland, WA",Other,Analytics,,,,2026-08-03,,,,https://www.google.com/about/careers/applications/jobs/results/133586655624733382-associate-principal-analyst/,https://www.google.com/about/careers/applications/jobs/results/133586655624733382-associate-principal-analyst/,440,
TSPA,Trust & Safety Specialist I,GitHub,,United States,Remote,Other,Trust and Safety,,,,2026-08-03,,,,https://githubinc.jibeapply.com/jobs/5549,https://githubinc.jibeapply.com/jobs/5549,445,
TSPA,"Director, Trust & Safety, Content Moderation – GIPHY",Giphy,,United States,"New York, NY",Other,Trust and Safety,,,,2026-08-03,,,,https://careers.shutterstock.com/us/en/job/R0003122/Director-Trust-Safety-Content-Moderation-GIPHY,https://careers.shutterstock.com/us/en/job/R0003122/Director-Trust-Safety-Content-Moderation-GIPHY,446,
